50 1225
1 2 1
1 3 1
1 4 5
1 5 2
1 6 1
1 7 2
1 8 3
1 9 5
1 10 5
1 11 1
1 12 2
1 13 4
1 14 3
1 15 2
1 16 2
1 17 2
1 18 4
1 19 3
1 20 3
1 21 2
1 22 2
1 23 2
1 24 5
1 25 4
1 26 3
1 27 5
1 28 3
1 29 2
1 30 2
1 31 2
1 32 4
1 33 4
1 34 3
1 35 3
1 36 1
1 37 1
1 38 3
1 39 4
1 40 2
1 41 4
1 42 3
1 43 1
1 44 4
1 45 5
1 46 2
1 47 1
1 48 3
1 49 4
1 50 1
2 3 2
2 4 5
2 5 4
2 6 4
2 7 2
2 8 3
2 9 1
2 10 1
2 11 3
2 12 5
2 13 3
2 14 2
2 15 1
2 16 5
2 17 1
2 18 1
2 19 3
2 20 3
2 21 2
2 22 4
2 23 4
2 24 5
2 25 1
2 26 4
2 27 3
2 28 5
2 29 4
2 30 4
2 31 5
2 32 1
2 33 1
2 34 1
2 35 3
2 36 1
2 37 1
2 38 4
2 39 3
2 40 1
2 41 1
2 42 3
2 43 3
2 44 1
2 45 3
2 46 5
2 47 2
2 48 5
2 49 1
2 50 3
3 4 4
3 5 5
3 6 3
3 7 3
3 8 2
3 9 4
3 10 2
3 11 2
3 12 5
3 13 1
3 14 1
3 15 2
3 16 5
3 17 4
3 18 1
3 19 4
3 20 5
3 21 2
3 22 5
3 23 2
3 24 2
3 25 1
3 26 1
3 27 3
3 28 1
3 29 1
3 30 2
3 31 1
3 32 5
3 33 2
3 34 2
3 35 5
3 36 2
3 37 3
3 38 1
3 39 3
3 40 4
3 41 4
3 42 5
3 43 3
3 44 4
3 45 5
3 46 3
3 47 2
3 48 2
3 49 4
3 50 1
4 5 1
4 6 2
4 7 4
4 8 2
4 9 3
4 10 2
4 11 2
4 12 5
4 13 4
4 14 4
4 15 1
4 16 5
4 17 2
4 18 2
4 19 1
4 20 4
4 21 2
4 22 2
4 23 1
4 24 3
4 25 3
4 26 4
4 27 1
4 28 1
4 29 4
4 30 5
4 31 1
4 32 5
4 33 1
4 34 2
4 35 2
4 36 4
4 37 4
4 38 4
4 39 5
4 40 1
4 41 1
4 42 3
4 43 4
4 44 1
4 45 4
4 46 4
4 47 2
4 48 4
4 49 2
4 50 5
5 6 1
5 7 5
5 8 2
5 9 5
5 10 1
5 11 5
5 12 5
5 13 3
5 14 3
5 15 1
5 16 2
5 17 2
5 18 4
5 19 1
5 20 4
5 21 1
5 22 5
5 23 3
5 24 5
5 25 3
5 26 3
5 27 5
5 28 3
5 29 5
5 30 4
5 31 2
5 32 1
5 33 2
5 34 1
5 35 4
5 36 2
5 37 2
5 38 5
5 39 4
5 40 4
5 41 1
5 42 1
5 43 1
5 44 3
5 45 2
5 46 3
5 47 3
5 48 4
5 49 3
5 50 4
6 7 2
6 8 2
6 9 5
6 10 1
6 11 1
6 12 1
6 13 5
6 14 5
6 15 5
6 16 2
6 17 2
6 18 4
6 19 1
6 20 4
6 21 5
6 22 3
6 23 4
6 24 5
6 25 4
6 26 1
6 27 2
6 28 3
6 29 4
6 30 4
6 31 4
6 32 5
6 33 5
6 34 4
6 35 2
6 36 1
6 37 2
6 38 1
6 39 3
6 40 1
6 41 4
6 42 3
6 43 4
6 44 3
6 45 1
6 46 2
6 47 3
6 48 2
6 49 1
6 50 1
7 8 5
7 9 4
7 10 1
7 11 3
7 12 5
7 13 1
7 14 2
7 15 5
7 16 1
7 17 5
7 18 2
7 19 2
7 20 1
7 21 5
7 22 2
7 23 3
7 24 3
7 25 4
7 26 1
7 27 5
7 28 1
7 29 4
7 30 1
7 31 5
7 32 5
7 33 2
7 34 3
7 35 5
7 36 1
7 37 4
7 38 1
7 39 4
7 40 4
7 41 1
7 42 4
7 43 3
7 44 3
7 45 3
7 46 4
7 47 3
7 48 1
7 49 3
7 50 4
8 9 3
8 10 2
8 11 5
8 12 3
8 13 5
8 14 5
8 15 3
8 16 3
8 17 4
8 18 3
8 19 2
8 20 4
8 21 2
8 22 2
8 23 3
8 24 2
8 25 2
8 26 2
8 27 2
8 28 5
8 29 1
8 30 4
8 31 2
8 32 3
8 33 5
8 34 1
8 35 5
8 36 2
8 37 2
8 38 4
8 39 2
8 40 5
8 41 3
8 42 5
8 43 2
8 44 2
8 45 1
8 46 5
8 47 2
8 48 1
8 49 1
8 50 4
9 10 1
9 11 4
9 12 3
9 13 3
9 14 3
9 15 5
9 16 1
9 17 1
9 18 2
9 19 5
9 20 1
9 21 5
9 22 4
9 23 3
9 24 2
9 25 1
9 26 2
9 27 5
9 28 2
9 29 4
9 30 4
9 31 4
9 32 2
9 33 4
9 34 3
9 35 2
9 36 3
9 37 3
9 38 5
9 39 3
9 40 5
9 41 1
9 42 2
9 43 3
9 44 2
9 45 2
9 46 4
9 47 1
9 48 1
9 49 1
9 50 2
10 11 2
10 12 4
10 13 5
10 14 3
10 15 3
10 16 1
10 17 2
10 18 2
10 19 2
10 20 5
10 21 1
10 22 5
10 23 4
10 24 3
10 25 4
10 26 1
10 27 1
10 28 2
10 29 3
10 30 2
10 31 5
10 32 1
10 33 3
10 34 4
10 35 3
10 36 5
10 37 1
10 38 5
10 39 1
10 40 5
10 41 2
10 42 1
10 43 5
10 44 5
10 45 3
10 46 3
10 47 2
10 48 2
10 49 5
10 50 4
11 12 4
11 13 2
11 14 2
11 15 5
11 16 2
11 17 1
11 18 2
11 19 4
11 20 5
11 21 5
11 22 3
11 23 2
11 24 1
11 25 1
11 26 3
11 27 2
11 28 1
11 29 4
11 30 2
11 31 2
11 32 1
11 33 1
11 34 2
11 35 5
11 36 1
11 37 4
11 38 5
11 39 5
11 40 5
11 41 5
11 42 5
11 43 2
11 44 2
11 45 3
11 46 4
11 47 4
11 48 1
11 49 5
11 50 3
12 13 5
12 14 5
12 15 3
12 16 1
12 17 1
12 18 5
12 19 2
12 20 2
12 21 1
12 22 2
12 23 5
12 24 1
12 25 4
12 26 2
12 27 5
12 28 4
12 29 5
12 30 5
12 31 4
12 32 3
12 33 5
12 34 4
12 35 3
12 36 2
12 37 5
12 38 1
12 39 4
12 40 3
12 41 1
12 42 4
12 43 2
12 44 1
12 45 4
12 46 1
12 47 4
12 48 4
12 49 1
12 50 2
13 14 2
13 15 2
13 16 5
13 17 1
13 18 1
13 19 2
13 20 4
13 21 4
13 22 4
13 23 1
13 24 2
13 25 2
13 26 5
13 27 4
13 28 1
13 29 1
13 30 1
13 31 2
13 32 4
13 33 4
13 34 2
13 35 2
13 36 1
13 37 3
13 38 2
13 39 5
13 40 3
13 41 5
13 42 1
13 43 2
13 44 4
13 45 5
13 46 2
13 47 4
13 48 4
13 49 3
13 50 3
14 15 3
14 16 5
14 17 3
14 18 4
14 19 1
14 20 5
14 21 2
14 22 3
14 23 5
14 24 2
14 25 2
14 26 4
14 27 4
14 28 3
14 29 2
14 30 2
14 31 3
14 32 4
14 33 5
14 34 3
14 35 2
14 36 1
14 37 5
14 38 4
14 39 5
14 40 3
14 41 1
14 42 2
14 43 5
14 44 5
14 45 3
14 46 3
14 47 1
14 48 2
14 49 4
14 50 5
15 16 3
15 17 1
15 18 1
15 19 3
15 20 4
15 21 4
15 22 1
15 23 2
15 24 5
15 25 2
15 26 1
15 27 4
15 28 4
15 29 3
15 30 1
15 31 1
15 32 5
15 33 1
15 34 3
15 35 3
15 36 1
15 37 2
15 38 1
15 39 4
15 40 5
15 41 5
15 42 4
15 43 4
15 44 3
15 45 2
15 46 5
15 47 5
15 48 2
15 49 4
15 50 4
16 17 5
16 18 1
16 19 2
16 20 3
16 21 5
16 22 2
16 23 5
16 24 3
16 25 1
16 26 5
16 27 2
16 28 3
16 29 4
16 30 2
16 31 4
16 32 5
16 33 3
16 34 1
16 35 4
16 36 3
16 37 3
16 38 3
16 39 5
16 40 4
16 41 4
16 42 2
16 43 5
16 44 5
16 45 4
16 46 1
16 47 2
16 48 3
16 49 5
16 50 3
17 18 1
17 19 1
17 20 2
17 21 5
17 22 5
17 23 2
17 24 4
17 25 5
17 26 5
17 27 1
17 28 4
17 29 2
17 30 1
17 31 3
17 32 4
17 33 5
17 34 4
17 35 5
17 36 1
17 37 2
17 38 2
17 39 5
17 40 4
17 41 1
17 42 3
17 43 3
17 44 4
17 45 5
17 46 5
17 47 5
17 48 2
17 49 5
17 50 2
18 19 2
18 20 2
18 21 3
18 22 5
18 23 1
18 24 4
18 25 2
18 26 1
18 27 5
18 28 2
18 29 1
18 30 3
18 31 4
18 32 1
18 33 5
18 34 4
18 35 5
18 36 2
18 37 2
18 38 3
18 39 5
18 40 2
18 41 5
18 42 2
18 43 3
18 44 3
18 45 4
18 46 4
18 47 1
18 48 1
18 49 2
18 50 3
19 20 1
19 21 3
19 22 4
19 23 1
19 24 3
19 25 4
19 26 3
19 27 5
19 28 4
19 29 1
19 30 4
19 31 3
19 32 2
19 33 2
19 34 2
19 35 5
19 36 5
19 37 3
19 38 4
19 39 3
19 40 3
19 41 3
19 42 3
19 43 2
19 44 2
19 45 2
19 46 4
19 47 1
19 48 1
19 49 1
19 50 3
20 21 3
20 22 1
20 23 3
20 24 5
20 25 1
20 26 4
20 27 3
20 28 2
20 29 3
20 30 1
20 31 1
20 32 1
20 33 1
20 34 5
20 35 2
20 36 4
20 37 2
20 38 3
20 39 3
20 40 1
20 41 3
20 42 4
20 43 1
20 44 5
20 45 3
20 46 2
20 47 2
20 48 2
20 49 4
20 50 5
21 22 1
21 23 5
21 24 4
21 25 3
21 26 4
21 27 1
21 28 5
21 29 3
21 30 5
21 31 2
21 32 3
21 33 5
21 34 2
21 35 1
21 36 4
21 37 4
21 38 2
21 39 1
21 40 2
21 41 2
21 42 4
21 43 2
21 44 1
21 45 5
21 46 2
21 47 5
21 48 1
21 49 2
21 50 2
22 23 4
22 24 1
22 25 5
22 26 3
22 27 1
22 28 2
22 29 4
22 30 5
22 31 3
22 32 4
22 33 5
22 34 2
22 35 2
22 36 5
22 37 3
22 38 4
22 39 1
22 40 5
22 41 5
22 42 3
22 43 1
22 44 2
22 45 5
22 46 5
22 47 5
22 48 4
22 49 5
22 50 3
23 24 4
23 25 3
23 26 4
23 27 3
23 28 1
23 29 3
23 30 4
23 31 1
23 32 5
23 33 5
23 34 5
23 35 4
23 36 5
23 37 2
23 38 5
23 39 5
23 40 4
23 41 1
23 42 5
23 43 4
23 44 1
23 45 3
23 46 5
23 47 1
23 48 3
23 49 3
23 50 3
24 25 3
24 26 1
24 27 1
24 28 1
24 29 1
24 30 2
24 31 1
24 32 2
24 33 3
24 34 5
24 35 1
24 36 3
24 37 5
24 38 4
24 39 5
24 40 2
24 41 5
24 42 1
24 43 1
24 44 3
24 45 4
24 46 5
24 47 2
24 48 5
24 49 1
24 50 1
25 26 4
25 27 1
25 28 1
25 29 4
25 30 1
25 31 5
25 32 3
25 33 2
25 34 4
25 35 5
25 36 3
25 37 3
25 38 3
25 39 3
25 40 5
25 41 1
25 42 3
25 43 4
25 44 2
25 45 2
25 46 2
25 47 1
25 48 3
25 49 2
25 50 1
26 27 4
26 28 1
26 29 4
26 30 4
26 31 4
26 32 4
26 33 2
26 34 1
26 35 1
26 36 1
26 37 3
26 38 4
26 39 4
26 40 1
26 41 2
26 42 5
26 43 1
26 44 4
26 45 4
26 46 5
26 47 2
26 48 4
26 49 5
26 50 1
27 28 4
27 29 2
27 30 4
27 31 2
27 32 1
27 33 1
27 34 4
27 35 3
27 36 2
27 37 3
27 38 1
27 39 3
27 40 2
27 41 4
27 42 4
27 43 2
27 44 3
27 45 4
27 46 3
27 47 5
27 48 5
27 49 1
27 50 5
28 29 2
28 30 2
28 31 3
28 32 2
28 33 2
28 34 1
28 35 5
28 36 2
28 37 5
28 38 5
28 39 1
28 40 5
28 41 4
28 42 1
28 43 1
28 44 1
28 45 5
28 46 2
28 47 5
28 48 5
28 49 5
28 50 5
29 30 1
29 31 5
29 32 1
29 33 5
29 34 4
29 35 4
29 36 5
29 37 1
29 38 5
29 39 5
29 40 3
29 41 2
29 42 4
29 43 3
29 44 5
29 45 5
29 46 3
29 47 2
29 48 5
29 49 1
29 50 5
30 31 3
30 32 3
30 33 3
30 34 5
30 35 4
30 36 2
30 37 2
30 38 5
30 39 4
30 40 3
30 41 1
30 42 5
30 43 1
30 44 1
30 45 3
30 46 1
30 47 5
30 48 4
30 49 2
30 50 5
31 32 4
31 33 2
31 34 2
31 35 2
31 36 1
31 37 5
31 38 5
31 39 4
31 40 1
31 41 3
31 42 4
31 43 3
31 44 3
31 45 1
31 46 1
31 47 3
31 48 3
31 49 2
31 50 3
32 33 1
32 34 2
32 35 3
32 36 1
32 37 2
32 38 1
32 39 2
32 40 5
32 41 1
32 42 2
32 43 2
32 44 1
32 45 2
32 46 5
32 47 2
32 48 4
32 49 1
32 50 2
33 34 1
33 35 3
33 36 1
33 37 3
33 38 5
33 39 4
33 40 5
33 41 1
33 42 4
33 43 3
33 44 4
33 45 2
33 46 4
33 47 4
33 48 5
33 49 3
33 50 2
34 35 5
34 36 5
34 37 4
34 38 2
34 39 3
34 40 4
34 41 2
34 42 4
34 43 5
34 44 2
34 45 5
34 46 2
34 47 1
34 48 1
34 49 5
34 50 2
35 36 1
35 37 3
35 38 1
35 39 5
35 40 5
35 41 5
35 42 4
35 43 5
35 44 3
35 45 1
35 46 5
35 47 3
35 48 5
35 49 4
35 50 3
36 37 4
36 38 5
36 39 3
36 40 2
36 41 2
36 42 5
36 43 3
36 44 3
36 45 3
36 46 5
36 47 5
36 48 4
36 49 4
36 50 5
37 38 1
37 39 1
37 40 4
37 41 2
37 42 1
37 43 4
37 44 3
37 45 3
37 46 2
37 47 5
37 48 5
37 49 1
37 50 4
38 39 1
38 40 4
38 41 2
38 42 2
38 43 5
38 44 4
38 45 2
38 46 1
38 47 2
38 48 2
38 49 1
38 50 2
39 40 4
39 41 5
39 42 1
39 43 5
39 44 1
39 45 1
39 46 5
39 47 1
39 48 1
39 49 4
39 50 5
40 41 2
40 42 3
40 43 4
40 44 4
40 45 4
40 46 4
40 47 2
40 48 1
40 49 4
40 50 2
41 42 4
41 43 2
41 44 2
41 45 4
41 46 1
41 47 5
41 48 3
41 49 5
41 50 3
42 43 1
42 44 5
42 45 5
42 46 3
42 47 4
42 48 5
42 49 3
42 50 5
43 44 2
43 45 2
43 46 1
43 47 5
43 48 1
43 49 1
43 50 1
44 45 2
44 46 4
44 47 5
44 48 1
44 49 2
44 50 5
45 46 1
45 47 4
45 48 2
45 49 3
45 50 3
46 47 2
46 48 5
46 49 5
46 50 1
47 48 3
47 49 5
47 50 4
48 49 5
48 50 3
49 50 4
