49 84
1 2 1
1 8 4
2 3 4
2 9 4
3 4 5
3 10 5
4 5 5
4 11 1
5 6 2
5 12 2
6 7 3
6 13 2
7 14 1
8 9 3
8 15 5
9 10 5
9 16 3
10 11 4
10 17 3
11 12 2
11 18 5
12 13 3
12 19 2
13 14 2
13 20 1
14 21 1
15 16 4
15 22 4
16 17 1
16 23 5
17 18 4
17 24 2
18 19 3
18 25 2
19 20 4
19 26 1
20 21 3
20 27 5
21 28 3
22 23 1
22 29 3
23 24 5
23 30 5
24 25 5
24 31 5
25 26 5
25 32 5
26 27 4
26 33 3
27 28 5
27 34 4
28 35 4
29 30 5
29 36 2
30 31 1
30 37 3
31 32 3
31 38 1
32 33 5
32 39 5
33 34 2
33 40 1
34 35 3
34 41 5
35 42 2
36 37 1
36 43 2
37 38 5
37 44 2
38 39 1
38 45 5
39 40 5
39 46 3
40 41 4
40 47 3
41 42 2
41 48 3
42 49 5
43 44 4
44 45 3
45 46 3
46 47 3
47 48 5
48 49 5
