40 87
1 2 4
1 3 2
1 4 4
1 5 2
2 3 5
2 4 1
2 5 5
3 4 4
3 5 4
4 5 4
5 6 1
6 7 5
6 8 2
6 9 1
6 10 1
7 8 3
7 9 4
7 10 3
8 9 1
8 10 4
9 10 2
10 11 3
11 12 5
11 13 2
11 14 2
11 15 5
12 13 2
12 14 4
12 15 3
13 14 2
13 15 5
14 15 2
15 16 3
16 17 5
16 18 1
16 19 2
16 20 3
17 18 2
17 19 3
17 20 5
18 19 2
18 20 1
19 20 3
20 21 2
21 22 4
21 23 2
21 24 4
21 25 4
22 23 3
22 24 1
22 25 3
23 24 2
23 25 5
24 25 1
25 26 3
26 27 4
26 28 5
26 29 4
26 30 4
27 28 5
27 29 5
27 30 1
28 29 5
28 30 5
29 30 3
30 31 3
31 32 3
31 33 1
31 34 3
31 35 4
32 33 4
32 34 5
32 35 5
33 34 5
33 35 4
34 35 2
35 36 4
36 37 3
36 38 1
36 39 4
36 40 2
37 38 5
37 39 5
37 40 4
38 39 5
38 40 1
39 40 5
