40 87
26 33 4
26 37 3
33 37 2
24 26 1
24 33 5
24 37 4
9 26 2
9 33 1
9 24 5
9 37 3
18 32 3
18 37 4
4 18 5
4 11 2
4 32 3
4 5 1
11 18 1
11 32 4
5 18 3
5 11 4
5 32 3
5 29 1
29 34 3
29 30 4
13 29 1
13 34 4
13 30 3
13 28 1
30 34 1
28 29 3
28 34 2
28 30 1
21 27 4
21 28 5
17 21 1
17 27 2
16 21 3
16 17 2
16 27 5
15 21 1
15 17 2
15 27 4
15 16 4
15 36 5
1 36 4
1 31 2
1 6 5
1 8 5
31 36 2
6 36 2
6 31 3
6 8 2
8 36 2
8 31 1
8 25 4
25 38 5
25 35 2
25 40 5
38 40 4
35 38 3
35 40 3
22 25 3
22 38 2
22 35 1
22 40 3
14 19 3
14 40 2
12 14 2
12 19 4
2 14 2
2 12 2
2 19 5
2 7 4
7 14 5
7 12 3
7 19 3
7 10 2
10 39 1
10 20 1
10 23 1
3 10 2
3 39 3
3 20 3
3 23 3
20 39 3
20 23 5
23 39 2
