dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
12,66,500,1.0,1763,1763.0,1763.0,1763.0,1763
50,1225,500,0.0,1763,11586.7,50881.5,90176.3,100000
12,66,500,1.0,24,371.8,1763.0,80352.6,100000
50,1225,500,0.0,24,545.7,50881.5,100000.0,100000
12,66,500,1.0,24,351.6,1763.0,100000.0,100000
50,1225,500,0.0,24,433.5,50881.5,100000.0,100000
50,1225,500,0.0,24,515.4000000000001,100000.0,100000.0,100000
25,300,500,0.0,24,597.3000000000001,100000.0,100000.0,100000
100,4950,500,0.0,24,679.2,100000.0,100000.0,100000
25,300,500,0.0,24,761.1,100000.0,100000.0,100000
6,15,500,1.0,24,95.0,100000.0,100000.0,100000
50,1225,500,0.0,24,169.80000000000007,100000.0,100000.0,100000
6,15,500,1.0,2,38.20000000000002,100000.0,100000.0,100000
12,66,500,1.0,2,45.300000000000004,100000.0,100000.0,100000
6,15,500,1.0,2,12.600000000000001,100000.0,100000.0,100000
6,15,500,1.0,2,14.5,50881.5,100000.0,100000
50,1225,500,0.0,2,16.400000000000002,100000.0,100000.0,100000
50,1225,500,0.0,2,18.300000000000004,100000.0,100000.0,100000
12,66,500,1.0,2,20.200000000000003,100000.0,100000.0,100000
25,300,500,0.0,2,22.1,100000.0,100000.0,100000
25,300,500,1.0,2,24.0,100000.0,100000.0,100000
6,15,500,1.0,2,24.2,52761.0,100000.0,100000
100,4950,500,0.0,2,24.4,100000.0,100000.0,100000
100,4950,500,0.0,2,24.6,100000.0,100000.0,100000
100,4950,500,0.0,2,24.8,100000.0,100000.0,100000
12,66,500,1.0,2,25.0,100000.0,100000.0,100000
12,66,500,1.0,2,25.2,100000.0,100000.0,100000
12,66,500,1.0,2,25.4,52761.0,100000.0,100000
12,66,500,1.0,2,25.6,5522.0,100000.0,100000
100,4950,500,0.0,2,25.8,52761.0,100000.0,100000
6,15,500,1.0,2,24.0,5522.0,100000.0,100000
100,4950,500,0.0,2,24.2,52761.0,100000.0,100000
25,300,500,1.0,2,24.4,9558.0,100000.0,100000
25,300,500,1.0,2,24.6,7540.0,100000.0,100000
50,1225,500,0.0,2,24.8,9558.0,100000.0,100000
6,15,500,1.0,2,25.0,7540.0,100000.0,100000
100,4950,500,0.0,2,25.2,9558.0,100000.0,100000
50,1225,500,1.0,2,25.4,9442.5,100000.0,100000
50,1225,500,0.0,2,25.6,9558.0,100000.0,100000
25,300,500,1.0,2,25.8,9442.5,100000.0,100000
25,300,500,0.0,2,26.0,9558.0,100000.0,100000
25,300,500,1.0,2,26.800000000000004,9442.5,100000.0,100000
12,66,500,1.0,2,27.6,9327.0,100000.0,100000
100,4950,500,0.0,2,28.4,9442.5,100000.0,100000
100,4950,500,0.0,2,29.200000000000003,9558.0,100000.0,100000
25,300,500,0.0,2,30.0,54779.0,100000.0,100000
6,15,500,1.0,2,30.800000000000004,9558.0,100000.0,100000
100,4950,500,0.0,2,31.6,54779.0,100000.0,100000
6,15,500,1.0,2,30.800000000000004,9558.0,100000.0,100000
6,15,500,1.0,2,25.8,9442.5,100000.0,100000
