dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
12,66,500,True,1148,1148,1148,1148,1148
50,1225,500,False,100000,100000,100000,100000,100000
12,66,500,True,1971,1971,1971,1971,1971
50,1225,500,False,100000,100000,100000,100000,100000
12,66,500,True,1322,1322,1322,1322,1322
50,1225,500,False,100000,100000,100000,100000,100000
50,1225,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
100,4950,500,False,100000,100000,100000,100000,100000
25,300,500,True,5683,5683,5683,5683,5683
6,15,500,True,23,23,23,23,23
50,1225,500,False,100000,100000,100000,100000,100000
6,15,500,True,7,7,7,7,7
12,66,500,True,1775,1775,1775,1775,1775
6,15,500,True,18,18,18,18,18
6,15,500,True,80,80,80,80,80
50,1225,500,False,100000,100000,100000,100000,100000
50,1225,500,False,100000,100000,100000,100000,100000
12,66,500,True,1112,1112,1112,1112,1112
25,300,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
6,15,500,True,21,21,21,21,21
100,4950,500,False,100000,100000,100000,100000,100000
100,4950,500,False,100000,100000,100000,100000,100000
100,4950,500,False,100000,100000,100000,100000,100000
12,66,500,True,124,124,124,124,124
12,66,500,True,1045,1045,1045,1045,1045
12,66,500,True,1012,1012,1012,1012,1012
12,66,500,True,160,160,160,160,160
100,4950,500,False,100000,100000,100000,100000,100000
6,15,500,True,21,21,21,21,21
100,4950,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
25,300,500,True,4756,4756,4756,4756,4756
50,1225,500,False,100000,100000,100000,100000,100000
6,15,500,True,7,7,7,7,7
100,4950,500,False,100000,100000,100000,100000,100000
50,1225,500,False,100000,100000,100000,100000,100000
50,1225,500,False,100000,100000,100000,100000,100000
25,300,500,True,6677,6677,6677,6677,6677
25,300,500,False,100000,100000,100000,100000,100000
25,300,500,True,6313,6313,6313,6313,6313
12,66,500,True,1588,1588,1588,1588,1588
100,4950,500,False,100000,100000,100000,100000,100000
100,4950,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
6,15,500,True,9,9,9,9,9
100,4950,500,False,100000,100000,100000,100000,100000
6,15,500,True,13,13,13,13,13
6,15,500,True,1,1,1,1,1
