dimensionality,num_edges,population_size,success,median_num_eval
6,15,50,True,34.0
6,15,100,True,20.0
6,15,500,True,13.5
6,15,1000,True,16.5
6,15,5000,True,51.5
6,15,10000,True,24.5
6,15,50000,True,26.5
6,15,100000,True,36.0
6,15,200000,True,38.0
6,15,300000,True,41.5
6,15,400000,True,41.5
6,15,500000,True,41.0
6,15,750000,True,33.5
6,15,1000000,True,26.0
12,66,50,False,180.5
12,66,100,True,419.0
12,66,500,True,1081.0
12,66,1000,True,900.0
12,66,5000,True,2067.0
12,66,10000,True,1046.0
12,66,50000,True,1297.0
12,66,100000,True,3527.0
12,66,200000,True,645.5
12,66,300000,True,2993.5
12,66,400000,True,1172.5
12,66,500000,True,1259.0
12,66,750000,True,980.0
12,66,1000000,True,682.5
25,300,50,False,100000.0
25,300,100,False,100000.0
25,300,500,False,6122.0
25,300,1000,True,10585.5
25,300,5000,True,43685.5
25,300,10000,True,71779.5
25,300,50000,False,100000.0
25,300,100000,False,100000.0
25,300,200000,False,200000.0
25,300,300000,False,300000.0
25,300,400000,False,392164.0
25,300,500000,False,500000.0
25,300,750000,False,750000.0
25,300,1000000,False,1000000.0
50,1225,50,False,100000.0
50,1225,100,False,100000.0
50,1225,500,False,100000.0
50,1225,1000,False,100000.0
50,1225,5000,False,100000.0
50,1225,10000,False,100000.0
50,1225,50000,False,100000.0
50,1225,100000,False,100000.0
50,1225,200000,False,200000.0
50,1225,300000,False,300000.0
50,1225,400000,False,400000.0
50,1225,500000,False,500000.0
50,1225,750000,False,750000.0
50,1225,1000000,False,1000000.0
100,4950,50,False,100000.0
100,4950,100,False,100000.0
100,4950,500,False,100000.0
100,4950,1000,False,100000.0
100,4950,5000,False,100000.0
100,4950,10000,False,100000.0
100,4950,50000,False,100000.0
100,4950,100000,False,100000.0
100,4950,200000,False,200000.0
100,4950,300000,False,300000.0
100,4950,400000,False,400000.0
100,4950,500000,False,500000.0
100,4950,750000,False,750000.0
100,4950,1000000,False,1000000.0
