dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
9,12,500,True,457,457,457,457,457
9,12,500,True,367,367,367,367,367
784,1512,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
25,40,500,True,3519,3519,3519,3519,3519
16,24,500,True,2274,2274,2274,2274,2274
100,180,500,False,100000,100000,100000,100000,100000
25,40,500,True,3557,3557,3557,3557,3557
1600,3120,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
49,84,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
9,12,500,True,457,457,457,457,457
1600,3120,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
25,40,500,True,3722,3722,3722,3722,3722
1600,3120,500,False,100000,100000,100000,100000,100000
49,84,500,True,9027,9027,9027,9027,9027
25,40,500,True,2690,2690,2690,2690,2690
16,24,500,True,2166,2166,2166,2166,2166
196,364,500,False,100000,100000,100000,100000,100000
9,12,500,True,302,302,302,302,302
196,364,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
16,24,500,True,2143,2143,2143,2143,2143
49,84,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
49,84,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
16,24,500,True,2056,2056,2056,2056,2056
100,180,500,False,100000,100000,100000,100000,100000
16,24,500,True,1733,1733,1733,1733,1733
196,364,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
9,12,500,True,519,519,519,519,519
400,760,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
9,12,500,True,773,773,773,773,773
1600,3120,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
16,24,500,True,2062,2062,2062,2062,2062
25,40,500,True,4713,4713,4713,4713,4713
25,40,500,True,4154,4154,4154,4154,4154
9,12,500,True,22,22,22,22,22
9,12,500,True,25,25,25,25,25
196,364,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
9,12,500,True,23,23,23,23,23
49,84,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
49,84,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
16,24,500,True,2591,2591,2591,2591,2591
16,24,500,True,1614,1614,1614,1614,1614
16,24,500,True,1913,1913,1913,1913,1913
49,84,500,False,100000,100000,100000,100000,100000
25,40,500,True,4811,4811,4811,4811,4811
16,24,500,True,2368,2368,2368,2368,2368
784,1512,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
9,12,500,True,266,266,266,266,266
784,1512,500,False,100000,100000,100000,100000,100000
49,84,500,False,100000,100000,100000,100000,100000
25,40,500,True,2632,2632,2632,2632,2632
25,40,500,True,2845,2845,2845,2845,2845
400,760,500,False,100000,100000,100000,100000,100000
49,84,500,True,9705,9705,9705,9705,9705
784,1512,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
49,84,500,True,8023,8023,8023,8023,8023
400,760,500,False,100000,100000,100000,100000,100000
25,40,500,True,6627,6627,6627,6627,6627
1600,3120,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
