dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
9,12,500,True,457,457,457,457,457
9,12,500,True,367,367,367,367,367
784,1512,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
25,40,500,True,3939,3939,3939,3939,3939
16,24,500,True,3421,3421,3421,3421,3421
100,180,500,False,100000,100000,100000,100000,100000
25,40,500,True,5213,5213,5213,5213,5213
1600,3120,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
49,84,500,True,8038,8038,8038,8038,8038
196,364,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
9,12,500,True,457,457,457,457,457
1600,3120,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
25,40,500,True,4007,4007,4007,4007,4007
1600,3120,500,False,100000,100000,100000,100000,100000
49,84,500,False,100000,100000,100000,100000,100000
25,40,500,True,4157,4157,4157,4157,4157
16,24,500,True,2099,2099,2099,2099,2099
196,364,500,False,100000,100000,100000,100000,100000
9,12,500,True,193,193,193,193,193
196,364,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
16,24,500,True,2089,2089,2089,2089,2089
49,84,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
49,84,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
16,24,500,True,2552,2552,2552,2552,2552
100,180,500,False,100000,100000,100000,100000,100000
16,24,500,True,1739,1739,1739,1739,1739
196,364,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
9,12,500,True,247,247,247,247,247
400,760,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
9,12,500,True,7,7,7,7,7
1600,3120,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
16,24,500,True,2025,2025,2025,2025,2025
25,40,500,True,4764,4764,4764,4764,4764
25,40,500,True,4567,4567,4567,4567,4567
9,12,500,True,16,16,16,16,16
9,12,500,True,71,71,71,71,71
196,364,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
9,12,500,True,167,167,167,167,167
49,84,500,False,100000,100000,100000,100000,100000
784,1512,500,False,100000,100000,100000,100000,100000
49,84,500,True,10050,10050,10050,10050,10050
100,180,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
16,24,500,True,2459,2459,2459,2459,2459
16,24,500,True,2751,2751,2751,2751,2751
16,24,500,True,2425,2425,2425,2425,2425
49,84,500,True,9109,9109,9109,9109,9109
25,40,500,True,3990,3990,3990,3990,3990
16,24,500,True,3049,3049,3049,3049,3049
784,1512,500,False,100000,100000,100000,100000,100000
196,364,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
9,12,500,True,1180,1180,1180,1180,1180
784,1512,500,False,100000,100000,100000,100000,100000
49,84,500,False,100000,100000,100000,100000,100000
25,40,500,True,4493,4493,4493,4493,4493
25,40,500,True,4060,4060,4060,4060,4060
400,760,500,False,100000,100000,100000,100000,100000
49,84,500,True,8068,8068,8068,8068,8068
784,1512,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
49,84,500,True,10067,10067,10067,10067,10067
400,760,500,False,100000,100000,100000,100000,100000
25,40,500,True,4541,4541,4541,4541,4541
1600,3120,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
400,760,500,False,100000,100000,100000,100000,100000
100,180,500,False,100000,100000,100000,100000,100000
1600,3120,500,False,100000,100000,100000,100000,100000
