dimensionality, num_edges, population_size, success, median_num_eval
9,12,10,False,500000.0
9,12,50,False,500000.0
9,12,100,True,178.0
9,12,500,True,190.0
9,12,1000,True,138.5
9,12,5000,True,182.5
9,12,10000,True,154.0
9,12,50000,True,195.0
16,24,10,False,500000.0
16,24,50,False,322.0
16,24,100,False,619.0
16,24,500,True,2212.5
16,24,1000,True,3788.5
16,24,5000,True,11346.0
16,24,10000,True,20292.0
16,24,50000,True,17006.5
25,40,10,False,500000.0
25,40,50,False,250227.0
25,40,100,False,500000.0
25,40,500,True,4416.5
25,40,1000,True,9016.0
25,40,5000,True,35153.5
25,40,10000,True,64083.0
25,40,50000,True,256493.0
49,84,10,False,500000.0
49,84,50,False,500000.0
49,84,100,False,500000.0
49,84,500,False,500000.0
49,84,1000,False,259918.5
49,84,5000,True,86945.0
49,84,10000,True,173043.0
49,84,50000,False,500000.0
100,180,10,False,500000.0
100,180,50,False,500000.0
100,180,100,False,500000.0
100,180,500,False,500000.0
100,180,1000,False,500000.0
100,180,5000,False,500000.0
100,180,10000,False,500000.0
100,180,50000,False,500000.0
196,364,10,False,500000.0
196,364,50,False,500000.0
196,364,100,False,500000.0
196,364,500,False,500000.0
196,364,1000,False,500000.0
196,364,5000,False,500000.0
196,364,10000,False,500000.0
196,364,50000,False,500000.0
400,760,10,False,500000.0
400,760,50,False,500000.0
400,760,100,False,500000.0
400,760,500,False,500000.0
400,760,1000,False,500000.0
400,760,5000,False,500000.0
400,760,10000,False,500000.0
400,760,50000,False,500000.0
784,1512,10,False,500000.0
784,1512,50,False,500000.0
784,1512,100,False,500000.0
784,1512,500,False,500000.0
784,1512,1000,False,500000.0
784,1512,5000,False,500000.0
784,1512,10000,False,500000.0
784,1512,50000,False,500000.0
1600,3120,10,False,500000.0
1600,3120,50,False,500000.0
1600,3120,100,False,500000.0
1600,3120,500,False,500000.0
1600,3120,1000,False,500000.0
1600,3120,5000,False,500000.0
1600,3120,10000,False,500000.0
1600,3120,50000,False,500000.0
