dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
12,25,500,True,817,817,817,817,817
50,200,500,False,100000,100000,100000,100000,100000
12,21,500,True,1211,1211,1211,1211,1211
50,213,500,False,100000,100000,100000,100000,100000
12,25,500,True,950,950,950,950,950
200,1632,500,False,100000,100000,100000,100000,100000
50,206,500,False,100000,100000,100000,100000,100000
50,211,500,False,100000,100000,100000,100000,100000
25,76,500,False,100000,100000,100000,100000,100000
100,590,500,False,100000,100000,100000,100000,100000
25,78,500,True,5532,5532,5532,5532,5532
6,8,500,True,27,27,27,27,27
50,213,500,False,100000,100000,100000,100000,100000
6,9,500,True,21,21,21,21,21
200,1596,500,False,100000,100000,100000,100000,100000
200,1615,500,False,100000,100000,100000,100000,100000
12,24,500,True,1087,1087,1087,1087,1087
6,8,500,True,17,17,17,17,17
6,7,500,True,5,5,5,5,5
50,205,500,False,100000,100000,100000,100000,100000
50,217,500,False,100000,100000,100000,100000,100000
12,22,500,True,14,14,14,14,14
25,76,500,True,3837,3837,3837,3837,3837
200,1622,500,False,100000,100000,100000,100000,100000
25,78,500,True,4960,4960,4960,4960,4960
200,1620,500,False,100000,100000,100000,100000,100000
6,8,500,True,37,37,37,37,37
100,588,500,False,100000,100000,100000,100000,100000
100,587,500,False,100000,100000,100000,100000,100000
200,1595,500,False,100000,100000,100000,100000,100000
200,1605,500,False,100000,100000,100000,100000,100000
100,587,500,False,100000,100000,100000,100000,100000
12,26,500,True,207,207,207,207,207
12,23,500,True,2240,2240,2240,2240,2240
12,22,500,True,401,401,401,401,401
12,22,500,True,1807,1807,1807,1807,1807
100,608,500,False,100000,100000,100000,100000,100000
6,8,500,True,28,28,28,28,28
100,602,500,False,100000,100000,100000,100000,100000
25,79,500,False,100000,100000,100000,100000,100000
25,77,500,False,100000,100000,100000,100000,100000
50,213,500,False,100000,100000,100000,100000,100000
6,8,500,True,18,18,18,18,18
200,1606,500,False,100000,100000,100000,100000,100000
100,580,500,False,100000,100000,100000,100000,100000
50,208,500,False,100000,100000,100000,100000,100000
50,221,500,False,100000,100000,100000,100000,100000
25,77,500,False,100000,100000,100000,100000,100000
25,74,500,False,100000,100000,100000,100000,100000
25,76,500,True,3461,3461,3461,3461,3461
200,1648,500,False,100000,100000,100000,100000,100000
12,24,500,True,425,425,425,425,425
100,589,500,False,100000,100000,100000,100000,100000
100,593,500,False,100000,100000,100000,100000,100000
25,73,500,False,100000,100000,100000,100000,100000
6,7,500,True,39,39,39,39,39
200,1647,500,False,100000,100000,100000,100000,100000
100,581,500,False,100000,100000,100000,100000,100000
6,8,500,True,27,27,27,27,27
6,8,500,True,15,15,15,15,15
