dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
12,25,500,True,702,702,702,702,702
50,200,500,True,9941,9941,9941,9941,9941
12,21,500,True,1681,1681,1681,1681,1681
50,213,500,False,100000,100000,100000,100000,100000
12,25,500,True,910,910,910,910,910
200,1632,500,False,100000,100000,100000,100000,100000
50,206,500,False,100000,100000,100000,100000,100000
50,211,500,False,100000,100000,100000,100000,100000
25,76,500,True,6077,6077,6077,6077,6077
100,590,500,False,100000,100000,100000,100000,100000
25,78,500,True,4144,4144,4144,4144,4144
6,8,500,True,80,80,80,80,80
50,213,500,False,100000,100000,100000,100000,100000
6,9,500,True,6,6,6,6,6
200,1596,500,False,100000,100000,100000,100000,100000
200,1615,500,False,100000,100000,100000,100000,100000
12,24,500,True,1575,1575,1575,1575,1575
6,8,500,True,1,1,1,1,1
6,7,500,True,5,5,5,5,5
50,205,500,False,100000,100000,100000,100000,100000
50,217,500,False,100000,100000,100000,100000,100000
12,22,500,True,1592,1592,1592,1592,1592
25,76,500,True,4605,4605,4605,4605,4605
200,1622,500,False,100000,100000,100000,100000,100000
25,78,500,True,3840,3840,3840,3840,3840
200,1620,500,False,100000,100000,100000,100000,100000
6,8,500,True,24,24,24,24,24
100,588,500,False,100000,100000,100000,100000,100000
100,587,500,False,100000,100000,100000,100000,100000
200,1595,500,False,100000,100000,100000,100000,100000
200,1605,500,False,100000,100000,100000,100000,100000
100,587,500,False,100000,100000,100000,100000,100000
12,26,500,True,2193,2193,2193,2193,2193
12,23,500,True,2029,2029,2029,2029,2029
12,22,500,True,1679,1679,1679,1679,1679
12,22,500,True,620,620,620,620,620
100,608,500,False,100000,100000,100000,100000,100000
6,8,500,True,32,32,32,32,32
100,602,500,False,100000,100000,100000,100000,100000
25,79,500,False,100000,100000,100000,100000,100000
25,77,500,True,4615,4615,4615,4615,4615
50,213,500,True,11042,11042,11042,11042,11042
6,8,500,True,2,2,2,2,2
200,1606,500,False,100000,100000,100000,100000,100000
100,580,500,False,100000,100000,100000,100000,100000
50,208,500,False,100000,100000,100000,100000,100000
50,221,500,False,100000,100000,100000,100000,100000
25,77,500,True,5900,5900,5900,5900,5900
25,74,500,True,3953,3953,3953,3953,3953
25,76,500,True,5801,5801,5801,5801,5801
200,1648,500,False,100000,100000,100000,100000,100000
12,24,500,True,43,43,43,43,43
100,589,500,False,100000,100000,100000,100000,100000
100,593,500,False,100000,100000,100000,100000,100000
25,73,500,True,4414,4414,4414,4414,4414
6,7,500,True,6,6,6,6,6
200,1647,500,False,100000,100000,100000,100000,100000
100,581,500,False,100000,100000,100000,100000,100000
6,8,500,True,9,9,9,9,9
6,8,500,True,15,15,15,15,15
