dimensionality, num_edges, population_size, success, median_num_eval
6,7,10,False,500000.0
6,7,50,True,18.0
6,7,100,True,20.5
6,7,500,True,22.5
6,7,1000,True,29.0
6,7,5000,True,24.5
6,7,10000,True,30.5
6,7,50000,True,25.0
12,22,10,False,500000.0
12,22,50,False,250069.5
12,22,100,False,322.5
12,22,500,True,1027.0
12,22,1000,True,1223.0
12,22,5000,True,1683.5
12,22,10000,True,1640.5
12,22,50000,True,1196.5
25,76,10,False,500000.0
25,76,50,False,500000.0
25,76,100,False,500000.0
25,76,500,False,5449.5
25,76,1000,True,9464.0
25,76,5000,True,41393.5
25,76,10000,True,71509.5
25,76,50000,True,296225.5
50,206,10,False,500000.0
50,206,50,False,500000.0
50,206,100,False,500000.0
50,206,500,False,500000.0
50,206,1000,False,500000.0
50,206,5000,False,302456.5
50,206,10000,False,500000.0
50,206,50000,False,500000.0
100,608,10,False,500000.0
100,608,50,False,500000.0
100,608,100,False,500000.0
100,608,500,False,500000.0
100,608,1000,False,500000.0
100,608,5000,False,500000.0
100,608,10000,False,402128.5
100,608,50000,False,500000.0
200,1605,10,False,500000.0
200,1605,50,False,500000.0
200,1605,100,False,500000.0
200,1605,500,False,500000.0
200,1605,1000,False,500000.0
200,1605,5000,False,500000.0
200,1605,10000,False,500000.0
200,1605,50000,False,500000.0
