dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,2105,2105,2105,2105,2105
80,175,500,False,100000,100000,100000,100000,100000
20,43,500,True,3175,3175,3175,3175,3175
10,21,500,True,123,123,123,123,123
20,43,500,True,2710,2710,2710,2710,2710
80,175,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,82,82,82,82,82
20,43,500,True,2851,2851,2851,2851,2851
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,3446,3446,3446,3446,3446
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,705,705,705,705,705
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,True,7814,7814,7814,7814,7814
20,43,500,True,2581,2581,2581,2581,2581
40,87,500,True,7521,7521,7521,7521,7521
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,86,86,86,86,86
40,87,500,True,7417,7417,7417,7417,7417
80,175,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,True,5834,5834,5834,5834,5834
80,175,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
20,43,500,True,3502,3502,3502,3502,3502
160,351,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,88,88,88,88,88
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,True,4891,4891,4891,4891,4891
10,21,500,True,227,227,227,227,227
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,571,571,571,571,571
40,87,500,True,8179,8179,8179,8179,8179
40,87,500,True,5395,5395,5395,5395,5395
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,23,23,23,23,23
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,3005,3005,3005,3005,3005
10,21,500,True,1166,1166,1166,1166,1166
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,True,7576,7576,7576,7576,7576
20,43,500,True,2517,2517,2517,2517,2517
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,24,24,24,24,24
20,43,500,True,3663,3663,3663,3663,3663
