dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,3023,3023,3023,3023,3023
80,175,500,False,100000,100000,100000,100000,100000
20,43,500,True,4211,4211,4211,4211,4211
10,21,500,True,123,123,123,123,123
20,43,500,True,2648,2648,2648,2648,2648
80,175,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,36,36,36,36,36
20,43,500,True,3508,3508,3508,3508,3508
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,3504,3504,3504,3504,3504
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,1128,1128,1128,1128,1128
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
20,43,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,43,43,43,43,43
40,87,500,True,10509,10509,10509,10509,10509
80,175,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
20,43,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,351,351,351,351,351
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
10,21,500,True,863,863,863,863,863
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,206,206,206,206,206
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,True,7066,7066,7066,7066,7066
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,499,499,499,499,499
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,False,100000,100000,100000,100000,100000
10,21,500,True,860,860,860,860,860
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,True,9130,9130,9130,9130,9130
20,43,500,True,4030,4030,4030,4030,4030
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,962,962,962,962,962
20,43,500,True,4878,4878,4878,4878,4878
