dimensionality, num_edges, population_size, success, median_num_eval
10,21,10,False,500000.0
10,21,50,False,215.0
10,21,100,False,143.0
10,21,500,True,466.5
10,21,1000,True,236.0
10,21,5000,True,482.5
10,21,10000,True,572.0
10,21,50000,True,355.0
20,43,10,False,500000.0
20,43,50,False,250128.0
20,43,100,False,658.0
20,43,500,True,2122.5
20,43,1000,True,3331.5
20,43,5000,True,15117.0
20,43,10000,True,21355.5
20,43,50000,True,30642.5
40,87,10,False,500000.0
40,87,50,False,500000.0
40,87,100,False,500000.0
40,87,500,False,8110.0
40,87,1000,True,12246.0
40,87,5000,True,50028.5
40,87,10000,True,90446.5
40,87,50000,True,407491.0
80,175,10,False,500000.0
80,175,50,False,500000.0
80,175,100,False,500000.0
80,175,500,False,500000.0
80,175,1000,False,500000.0
80,175,5000,False,114458.0
80,175,10000,False,217094.0
80,175,50000,False,500000.0
160,351,10,False,500000.0
160,351,50,False,500000.0
160,351,100,False,500000.0
160,351,500,False,500000.0
160,351,1000,False,500000.0
160,351,5000,False,500000.0
160,351,10000,False,410131.0
160,351,50000,False,500000.0
