dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,1715,1715,1715,1715,1715
80,175,500,False,100000,100000,100000,100000,100000
20,43,500,True,4693,4693,4693,4693,4693
10,21,500,True,235,235,235,235,235
20,43,500,True,3711,3711,3711,3711,3711
80,175,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,564,564,564,564,564
20,43,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,2979,2979,2979,2979,2979
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,804,804,804,804,804
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
20,43,500,True,3642,3642,3642,3642,3642
40,87,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,646,646,646,646,646
40,87,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
20,43,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,149,149,149,149,149
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
10,21,500,True,58,58,58,58,58
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,740,740,740,740,740
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,326,326,326,326,326
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,1774,1774,1774,1774,1774
10,21,500,True,100,100,100,100,100
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
20,43,500,True,4670,4670,4670,4670,4670
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,280,280,280,280,280
20,43,500,True,2374,2374,2374,2374,2374
