dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,1972,1972,1972,1972,1972
80,175,500,False,100000,100000,100000,100000,100000
20,43,500,True,4342,4342,4342,4342,4342
10,21,500,True,235,235,235,235,235
20,43,500,True,1884,1884,1884,1884,1884
80,175,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,520,520,520,520,520
20,43,500,True,3101,3101,3101,3101,3101
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,3836,3836,3836,3836,3836
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,1185,1185,1185,1185,1185
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
20,43,500,False,100000,100000,100000,100000,100000
40,87,500,True,10712,10712,10712,10712,10712
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,111,111,111,111,111
40,87,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
80,175,500,False,100000,100000,100000,100000,100000
20,43,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,309,309,309,309,309
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,False,100000,100000,100000,100000,100000
10,21,500,True,46,46,46,46,46
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,1030,1030,1030,1030,1030
40,87,500,False,100000,100000,100000,100000,100000
40,87,500,True,9801,9801,9801,9801,9801
80,175,500,False,100000,100000,100000,100000,100000
10,21,500,True,270,270,270,270,270
160,351,500,False,100000,100000,100000,100000,100000
20,43,500,True,3053,3053,3053,3053,3053
10,21,500,True,741,741,741,741,741
160,351,500,False,100000,100000,100000,100000,100000
40,87,500,True,7530,7530,7530,7530,7530
20,43,500,True,2790,2790,2790,2790,2790
160,351,500,False,100000,100000,100000,100000,100000
10,21,500,True,11,11,11,11,11
20,43,500,True,1874,1874,1874,1874,1874
