dimensionality, num_edges, population_size, success, median_num_eval
10,21,10,False,500000.0
10,21,50,False,500000.0
10,21,100,False,272.0
10,21,500,True,427.5
10,21,1000,True,337.5
10,21,5000,True,423.0
10,21,10000,True,322.5
10,21,50000,True,298.5
20,43,10,False,500000.0
20,43,50,False,500000.0
20,43,100,False,500000.0
20,43,500,False,500000.0
20,43,1000,False,7104.0
20,43,5000,True,18382.5
20,43,10000,True,32787.5
20,43,50000,True,105419.0
40,87,10,False,500000.0
40,87,50,False,500000.0
40,87,100,False,500000.0
40,87,500,False,500000.0
40,87,1000,False,500000.0
40,87,5000,False,500000.0
40,87,10000,False,500000.0
40,87,50000,False,500000.0
80,175,10,False,500000.0
80,175,50,False,500000.0
80,175,100,False,500000.0
80,175,500,False,500000.0
80,175,1000,False,500000.0
80,175,5000,False,500000.0
80,175,10000,False,500000.0
80,175,50000,False,500000.0
160,351,10,False,500000.0
160,351,50,False,500000.0
160,351,100,False,500000.0
160,351,500,False,500000.0
160,351,1000,False,500000.0
160,351,5000,False,500000.0
160,351,10000,False,500000.0
160,351,50000,False,500000.0
